US Size,UK Size,EU Size,Foot Length (Inches)
6,5.5,39,9.25
6.5,6,39,9.5
7,6.5,40,9.625
7.5,7,40-41,9.75
8,7.5,41,9.938
8.5,8,41-42,10.125
9,8.5,42,10.25
9.5,9,42-43,10.438
10,9.5,43,10.563
10.5,10,43-44,10.75
11,10.5,44,10.938
11.5,11,44-45,11.125
12,11.5,45,11.25
13,12.5,46,11.563
14,13.5,47,12.188
15,14.5,48,12.125
16,15.5,49,12.5
0-2 XS,,32-33,24-25,34-35
4-6 S,,34-35,26-27,36-37
8-10 M,,36-37,28-29,38-39
12-14 L,,38-40,30-32,41-42
16-18 XL,1X,41-43,33-35,44-46
20-22 XXL,2X,44-46,36-38,47-49
24-26,3X,49-51,43-45,52-54
